target,hull_energy,gamma,predictions/SynthNN,predictions/PU-CGNF,predictions/PU-CGCNN,predictions/SynCoTrain,predictions/TSDNN
O7Sr2Zn5,0.09,0.012,0.783,0.681,0.59,0.208,0.939
O7Sr3Zn1,0.31,0.154,0.37,0.857,0.735,0.631,0.999
O7Sr3Zn4,0.108,0.036,0.749,0.818,0.814,0.78,0.995
O7Sr4Zn2,0.13,0.072,0.084,0.836,0.639,0.831,0.999
O7Sr4Zn3,0.104,0.035,0.139,0.87,0.761,0.873,0.999
O7Sr5Zn2,0.123,0.035,0.05,0.825,0.441,0.951,0.999
O7Sr6Zn1,0.083,-0.005,0.041,0.752,0.534,0.998,0.999
O8Sr1Zn6,0.228,-0.017,0.077,0.646,0.721,0.693,0.836
O8Sr3Zn2,0.247,0.101,0.37,0.819,0.733,0.921,1.0
O8Sr3Zn5,0.099,0.029,0.77,0.759,0.767,0.786,0.968
O8Sr5Zn2,0.111,0.063,0.061,0.821,0.638,0.984,0.999
O8Sr5Zn3,0.112,0.041,0.153,0.861,0.571,0.966,0.997
O8Sr7Zn1,0.068,-0.032,0.047,0.745,0.573,0.999,0.999
Ge1K1O3,0.155,0.156,0.069,0.927,0.771,0.526,1.0
Ge1K2O1,0.1,0.484,0.003,0.903,0.743,0.991,1.0
Ge1K2O2,0.109,0.182,0.014,0.949,0.717,0.739,1.0
Ge1K2O3,0.0,-0.002,0.821,0.938,0.929,0.981,1.0
Ge1K2O4,0.153,0.131,0.114,0.924,0.668,0.919,1.0
Ge1K2O5,0.31,0.272,0.068,0.916,0.685,0.909,1.0
Ge1K2O6,0.317,0.338,0.038,0.911,0.608,0.84,1.0
Ge1K3O2,0.091,0.266,0.002,0.926,0.604,0.995,1.0
Ge1K3O3,0.044,0.107,0.009,0.942,0.691,0.881,1.0
Ge1K3O5,0.147,0.137,0.082,0.924,0.646,0.86,1.0
Ge1K3O6,0.218,0.213,0.057,0.916,0.64,0.882,1.0
Ge1K5O2,0.104,0.305,0.002,0.785,0.337,0.839,1.0
Ge1K6O2,0.318,0.409,0.002,0.699,0.359,1.0,1.0
Ge1K6O5,0.034,0.078,0.762,0.931,0.823,0.994,1.0
Ge1K7O2,0.163,0.358,0.003,0.625,0.245,0.981,0.999
Ge1K7O3,0.35,0.38,0.005,0.78,0.546,1.0,1.0
Ge1K8O3,0.314,0.351,0.004,0.716,0.314,0.997,1.0
Ge1K8O5,0.104,0.173,0.003,0.9,0.51,0.974,1.0
Ge1K8O6,0.059,0.106,0.698,0.925,0.769,0.952,1.0
Ge1K8O7,0.136,0.15,0.042,0.929,0.834,0.99,1.0
Ge2K3O1,0.08,0.632,0.001,0.871,0.884,0.961,1.0
Ge2K4O1,0.078,0.582,0.003,0.795,0.706,0.901,1.0
Ge2K5O1,0.065,0.529,0.003,0.711,0.47,0.922,1.0
Ge2K6O5,0.094,0.213,0.004,0.939,0.855,0.794,1.0
Ge2K7O1,0.097,0.497,0.003,0.537,0.28,0.979,0.999
Ge2K7O3,0.124,0.375,0.002,0.837,0.72,0.991,1.0
Ge2K7O5,0.11,0.235,0.004,0.929,0.647,0.93,1.0
Ge3K1O7,0.138,0.201,0.014,0.897,0.71,0.948,1.0
Ge3K2O7,0.064,0.041,0.962,0.935,0.765,0.683,1.0
Ge3K4O8,0.024,0.039,0.918,0.933,0.889,0.723,1.0
Ge3K5O1,0.074,0.645,0.005,0.789,0.851,0.991,1.0
Ge3K5O7,0.065,0.182,0.006,0.945,0.854,0.758,1.0
Ge3K8O2,0.138,0.524,0.004,0.745,0.416,0.998,1.0
Ge4K2O5,0.138,0.349,0.0,0.908,0.531,0.802,0.999
Ge4K2O7,0.036,0.118,0.039,0.927,0.703,0.632,1.0
Ge4K7O3,0.084,0.551,0.003,0.889,0.781,0.976,1.0
Ge5K6O1,0.092,0.75,0.002,0.861,0.856,1.0,1.0
Ge5K8O3,0.107,0.602,0.001,0.878,0.845,0.981,1.0
Mg1O3Ti2,0.194,0.728,0.002,0.333,0.178,0.023,0.187
Mg1O4Ti1,0.297,0.275,0.127,0.702,0.175,0.263,0.493
Mg1O4Ti3,0.27,0.83,0.001,0.448,0.008,0.0,0.028
Mg1O5Ti1,0.465,0.43,0.039,0.761,0.132,0.098,0.961
Mg1O5Ti4,0.249,0.835,0.001,0.532,0.113,0.004,0.446
Mg1O6Ti1,0.403,0.406,0.039,0.791,0.15,0.001,0.991
Mg1O7Ti4,0.124,0.427,0.472,0.639,0.056,0.009,0.646
Mg2O3Ti1,0.161,0.456,0.002,0.041,0.05,0.195,0.172
Mg2O5Ti3,0.222,0.697,0.003,0.269,0.233,0.026,0.655
Mg2O7Ti5,0.28,0.806,0.001,0.394,0.051,0.0,0.486
Mg2O8Ti1,0.418,0.413,0.039,0.798,0.109,0.05,0.796
Mg3O5Ti2,0.211,0.548,0.004,0.085,0.012,0.004,0.185
Mg3O6Ti2,0.085,0.272,0.086,0.224,0.007,0.0,0.182
Mg3O7Ti4,0.252,0.697,0.003,0.244,0.0,0.0,0.041
Mg3O8Ti5,0.255,0.746,0.003,0.29,0.016,0.0,0.047
Mg5O8Ti3,0.228,0.548,0.002,0.066,0.0,0.0,0.002
Mg6O8Ti1,0.237,-0.074,0.789,0.018,0.144,0.151,0.139
Ge1La1O3,0.109,0.175,0.014,0.758,0.485,0.737,1.0
Ge1La3O6,0.082,0.153,0.021,0.772,0.404,0.847,1.0
Ge1La4O4,0.014,0.754,0.002,0.734,0.205,0.78,0.999
Ge1La5O8,0.239,0.363,0.005,0.738,0.044,0.441,0.999
Ge2La1O3,0.239,0.524,0.002,0.341,0.228,0.605,1.0
Ge2La3O8,0.101,0.124,0.006,0.776,0.71,0.78,1.0
Ge2La4O7,0.279,0.466,0.006,0.661,0.449,0.744,1.0
Ge2La5O1,0.0,1.489,0.051,0.528,0.318,0.82,0.996
Ge2La5O3,0.0,1.088,0.095,0.975,0.32,0.409,0.999
Ge2La5O8,0.3,0.489,0.013,0.729,0.124,0.7,0.999
Ge2La6O1,0.024,1.609,0.029,0.209,0.318,0.808,0.996
Ge3La1O1,0.159,0.929,0.006,0.556,0.604,0.592,1.0
Ge3La1O6,0.127,0.298,0.002,0.734,0.149,0.64,1.0
Ge3La2O3,0.226,0.72,0.1,0.409,0.279,0.656,1.0
Ge3La2O4,0.287,0.64,0.007,0.29,0.157,0.725,1.0
Ge3La4O6,0.297,0.627,0.17,0.599,0.17,0.737,1.0
Ge3La5O2,0.016,1.198,0.056,0.986,0.327,0.53,0.999
Ge3La7O4,0.0,1.105,0.08,0.98,0.238,0.775,0.999
Ge3La8O7,0.115,0.895,0.002,0.914,0.124,0.84,0.999
Ge4La1O7,0.062,0.319,0.014,0.657,0.182,0.726,1.0
Ge4La2O1,0.216,1.074,0.016,0.866,0.627,0.764,1.0
Ge4La5O2,0.083,1.147,0.051,0.858,0.34,0.902,1.0
Ge5La2O3,0.405,0.872,0.001,0.313,0.276,0.79,1.0
Ge5La2O8,0.189,0.475,0.009,0.478,0.375,0.733,1.0
Ge5La3O7,0.225,0.575,0.018,0.273,0.135,0.762,1.0
Ge5La4O3,0.144,0.959,0.003,0.824,0.448,0.579,1.0
Ge5La7O2,0.017,1.237,0.037,0.966,0.469,0.826,0.999
Ge6La4O1,0.119,1.147,0.033,0.891,0.705,0.848,1.0
Ge6La7O2,0.052,1.198,0.046,0.794,0.43,0.894,1.0
Ge6La7O3,0.06,1.113,0.049,0.77,0.28,0.916,1.0
Ge7La5O4,0.29,0.993,0.003,0.831,0.272,0.838,1.0
Ge7La8O4,0.095,1.079,0.004,0.752,0.206,0.845,1.0
Ge8La6O1,0.096,1.196,0.051,0.828,0.708,0.791,1.0
Ge1O1Te1,0.017,0.336,0.009,0.601,0.759,0.616,0.996
Ge1O2Te1,0.074,0.2,0.002,0.728,0.69,0.813,1.0
Ge1O4Te5,0.209,0.26,0.002,0.745,0.732,0.94,1.0
Ge1O6Te4,0.122,0.151,0.003,0.835,0.882,0.774,1.0
Ge2O1Te3,0.0,0.364,0.002,0.69,0.465,0.905,1.0
Ge2O2Te1,0.057,0.367,0.0,0.499,0.416,0.848,1.0
Ge2O3Te5,0.142,0.292,0.004,0.72,0.718,0.675,1.0
Ge2O7Te2,0.155,0.145,0.401,0.842,0.326,0.536,1.0
Ge2O7Te4,0.159,0.092,0.004,0.809,0.803,0.816,1.0
Ge3O1Te4,0.0,0.402,0.003,0.663,0.601,0.899,1.0
Ge3O1Te8,0.0,0.338,0.018,0.772,0.53,0.957,1.0
Ge3O3Te1,0.103,0.401,0.001,0.47,0.459,0.665,1.0
Ge3O4Te4,0.151,0.315,0.0,0.672,0.564,0.848,1.0
Ge3O6Te2,0.198,0.248,0.001,0.726,0.739,0.742,1.0
Ge3O7Te2,0.196,0.227,0.025,0.77,0.725,0.934,1.0
Ge3O8Te1,0.11,0.057,0.227,0.797,0.663,0.812,1.0
Ge3O8Te2,0.193,0.191,0.0,0.799,0.771,0.764,1.0
Ge4O1Te3,0.119,0.504,0.0,0.481,0.267,0.896,1.0
Ge4O3Te2,0.068,0.442,0.0,0.469,0.446,0.79,0.999
Ge4O3Te5,0.035,0.351,0.002,0.638,0.571,0.791,1.0
Ge4O6Te3,0.166,0.307,0.0,0.64,0.553,0.783,1.0
Ge5O1Te7,0.0,0.406,0.007,0.682,0.739,0.964,1.0
Ge5O2Te8,0.0,0.367,0.0,0.711,0.511,0.973,1.0
Ge5O3Te6,0.019,0.375,0.0,0.627,0.54,0.936,1.0
Ge5O7Te8,0.16,0.304,0.009,0.694,0.703,0.952,1.0
Ge6O5Te2,0.074,0.443,0.0,0.454,0.371,0.895,1.0
Ge6O5Te7,0.034,0.346,0.004,0.623,0.537,0.957,1.0
Ge7O3Te8,0.094,0.425,0.003,0.611,0.652,0.996,1.0
Ge8O5Te7,0.086,0.407,0.001,0.542,0.416,0.983,1.0
Ge8O7Te6,0.094,0.376,0.001,0.534,0.504,0.92,1.0
Cu1O4Sr1,0.264,0.287,0.027,0.589,0.678,0.549,1.0
Cu1O4Sr3,0.12,0.03,0.1,0.811,0.338,0.86,0.999
Cu1O5Sr4,0.139,0.031,0.041,0.79,0.361,0.952,0.999
Cu1O6Sr1,0.22,0.305,0.029,0.727,0.155,0.406,0.999
Cu1O6Sr2,0.218,0.265,0.057,0.738,0.486,0.879,1.0
Cu1O6Sr5,0.107,0.012,0.017,0.77,0.446,0.98,0.999
Cu1O7Sr1,0.338,0.422,0.028,0.775,0.191,0.419,1.0
Cu1O7Sr2,0.158,0.233,0.029,0.757,0.238,0.601,1.0
Cu1O7Sr6,0.204,0.037,0.015,0.756,0.42,0.796,1.0
Cu1O8Sr7,0.094,-0.062,0.025,0.745,0.47,0.998,0.999
Cu2O4Sr3,0.263,0.113,0.009,0.882,0.457,0.82,0.999
Cu2O5Sr1,0.061,0.12,0.108,0.593,0.586,0.674,0.999
Cu2O6Sr5,0.158,0.071,0.012,0.853,0.549,0.988,0.999
Cu2O7Sr5,0.111,0.039,0.255,0.819,0.459,0.555,1.0
Cu2O7Sr6,0.114,0.056,0.094,0.836,0.47,0.985,0.999
Cu2O8Sr5,0.127,0.034,0.011,0.789,0.648,0.67,1.0
Cu2O8Sr7,0.214,0.084,0.009,0.82,0.324,0.738,0.999
Cu3O4Sr1,0.055,0.011,0.378,0.848,0.489,0.986,0.997
Cu3O5Sr1,0.009,0.003,0.166,0.755,0.573,0.762,0.995
Cu3O7Sr2,0.038,0.061,0.326,0.708,0.335,0.502,1.0
Cu3O8Sr5,0.219,0.076,0.68,0.815,0.468,0.678,0.999
Cu4O3Sr1,0.123,0.065,0.083,0.912,0.641,0.998,0.997
Cu4O4Sr1,0.077,0.019,0.004,0.899,0.704,0.786,0.992
Cu4O5Sr1,0.12,0.044,0.358,0.832,0.428,0.347,0.999
Cu4O5Sr3,0.088,0.046,0.16,0.931,0.554,0.617,0.998
Cu4O6Sr1,0.13,0.079,0.477,0.758,0.515,0.991,0.998
Cu4O7Sr1,0.1,0.031,0.101,0.684,0.63,0.802,0.997
Cu4O7Sr3,0.065,0.022,0.497,0.829,0.579,0.933,0.999
Cu4O7Sr5,0.189,0.088,0.207,0.89,0.561,0.824,0.999
Cu4O8Sr1,0.043,0.099,0.51,0.613,0.229,0.73,0.922
Cu4O8Sr3,0.061,0.051,0.009,0.785,0.568,0.869,0.999
Cu5O6Sr1,0.105,0.019,0.107,0.819,0.385,0.633,0.996
Cu5O7Sr1,0.078,0.015,0.067,0.755,0.367,0.875,0.988
Cu5O7Sr2,0.104,0.038,0.444,0.854,0.649,0.852,0.996
Cu5O8Sr3,0.028,0.008,0.489,0.846,0.403,0.929,0.999
Cu6O5Sr1,0.07,-0.021,0.043,0.901,0.513,0.954,0.991
Cu6O5Sr2,0.125,0.056,0.098,0.932,0.674,0.947,0.996
Cu6O7Sr1,0.087,-0.04,0.038,0.81,0.482,0.964,0.981
Cu6O7Sr2,0.118,0.06,0.455,0.893,0.536,0.965,0.994
Cu6O8Sr1,0.044,-0.021,0.378,0.751,0.586,0.945,0.995
Cu6O8Sr5,0.144,0.071,0.005,0.922,0.654,0.843,0.999
Cu7O8Sr1,0.122,0.011,0.039,0.804,0.46,0.97,0.994
In1La1O2,0.163,0.291,0.005,0.199,0.267,0.698,0.999
In1La5O1,0.04,1.674,0.043,0.106,0.407,0.773,0.775
In1La6O7,0.162,0.582,0.005,0.425,0.281,0.765,0.996
In1La6O8,0.216,0.426,0.005,0.496,0.244,0.738,0.998
In1La7O6,0.054,0.913,0.007,0.636,0.171,0.753,0.993
In2La3O2,0.0,0.926,0.029,0.488,0.398,0.917,0.997
In2La6O5,0.056,0.879,0.014,0.85,0.318,0.654,0.995
In2La7O4,0.074,1.191,0.11,0.743,0.26,0.721,0.985
In2La8O7,0.055,0.861,0.012,0.745,0.29,0.88,0.996
In3La1O2,0.206,0.615,0.011,0.035,0.481,0.692,1.0
In3La2O3,0.165,0.544,0.003,0.039,0.288,0.774,0.999
In3La2O4,0.172,0.439,0.005,0.083,0.427,0.778,1.0
In3La5O6,0.11,0.552,0.024,0.631,0.187,0.352,0.998
In3La5O7,0.264,0.503,0.003,0.601,0.277,0.51,0.999
In4La3O2,0.063,0.879,0.031,0.021,0.56,0.799,0.998
In4La5O3,0.062,0.988,0.027,0.153,0.343,0.922,0.997
In4La7O2,0.007,1.309,0.051,0.801,0.455,0.803,0.983
In5La2O7,0.194,0.347,0.004,0.301,0.136,0.657,0.999
In5La3O1,0.083,1.038,0.009,0.294,0.628,0.95,1.0
In5La3O4,0.265,0.669,0.016,0.014,0.317,0.569,0.999
In5La7O1,0.01,1.368,0.145,0.663,0.679,0.985,0.987
In5La7O2,0.013,1.249,0.061,0.536,0.673,0.965,0.993
In5La8O3,0.018,1.207,0.061,0.753,0.329,0.983,0.992
In6La5O7,0.227,0.57,0.008,0.087,0.105,0.79,0.999
In6La8O3,0.005,1.152,0.061,0.332,0.532,0.973,0.994
In7La2O1,0.086,0.897,0.034,0.863,0.486,0.985,1.0
Ir1Na1O1,0.558,0.329,0.0,0.163,0.649,0.907,0.998
Ir1Na1O2,0.13,0.169,0.019,0.697,0.757,0.5,0.999
Ir1Na3O3,0.125,0.075,0.11,0.917,0.859,0.507,1.0
Ir1Na3O5,0.0,-0.005,0.052,0.901,0.826,0.916,1.0
Ir1Na4O3,0.176,0.168,0.036,0.891,0.787,0.971,1.0
Ir1Na4O6,0.0,-0.061,0.076,0.91,0.87,0.931,0.999
Ir1Na5O6,0.0,-0.07,0.037,0.911,0.907,0.999,1.0
Ir1Na5O7,0.0,0.012,0.042,0.912,0.731,0.984,1.0
Ir1Na6O4,0.173,0.162,0.013,0.85,0.756,0.757,1.0
Ir1Na6O5,0.065,0.053,0.6,0.873,0.744,0.844,1.0
Ir1Na6O8,0.057,0.068,0.032,0.91,0.816,0.727,1.0
Ir1Na7O5,0.091,0.107,0.029,0.846,0.7,0.757,1.0
Ir1Na7O6,0.0,0.032,0.331,0.868,0.856,0.974,1.0
Ir1Na8O7,0.0,0.075,0.259,0.866,0.7,0.794,1.0
Ir2Na3O7,0.002,0.02,0.346,0.832,0.768,0.787,0.999
Ir2Na4O3,0.492,0.429,0.001,0.664,0.756,0.878,1.0
Ir2Na5O7,0.017,0.065,0.622,0.907,0.777,0.89,1.0
Ir2Na6O5,0.289,0.253,0.03,0.907,0.612,0.785,1.0
Ir2Na6O7,0.052,0.01,0.934,0.917,0.864,0.997,1.0
Ir2Na8O7,0.155,0.099,0.032,0.903,0.749,0.961,1.0
Ir3Na1O4,0.238,0.36,0.001,0.275,0.537,0.577,0.997
Ir3Na1O7,0.11,0.091,0.259,0.602,0.619,1.0,0.999
Ir3Na2O4,0.418,0.413,0.001,0.461,0.509,0.809,0.999
Ir3Na2O5,0.276,0.316,0.004,0.519,0.645,0.855,0.999
Ir3Na2O8,0.103,0.054,0.686,0.689,0.531,0.813,0.998
Ir3Na4O7,0.152,0.177,0.021,0.807,0.713,0.755,0.999
Ir3Na4O8,0.006,-0.004,0.917,0.807,0.736,0.841,0.999
Ir3Na5O7,0.209,0.218,0.029,0.865,0.703,0.918,0.999
Ir3Na7O8,0.287,0.214,0.034,0.911,0.746,0.873,0.999
Ir3Na8O7,0.326,0.283,0.027,0.906,0.827,0.931,1.0
Ir4Na2O5,0.485,0.456,0.0,0.377,0.388,0.856,0.992
Ir5Na1O6,0.342,0.44,0.002,0.203,0.523,0.536,0.999
Ir5Na1O8,0.248,0.375,0.008,0.289,0.561,0.849,0.997
Ir5Na3O4,0.608,0.511,0.0,0.256,0.566,0.505,0.998
Ir5Na7O6,0.54,0.451,0.001,0.287,0.618,0.876,0.999
Ir6Na8O7,0.443,0.392,0.001,0.253,0.602,0.315,0.999
K1Mn2O3,0.061,0.043,0.853,0.819,0.827,0.938,0.992
K1Mn3O2,0.459,0.557,0.001,0.27,0.428,0.4,0.977
K1Mn3O8,0.223,0.275,0.209,0.831,0.64,0.94,0.999
K1Mn5O8,0.056,0.02,0.506,0.758,0.564,0.377,0.985
K1Mn6O7,0.109,0.105,0.069,0.587,0.438,0.147,0.977
K2Mn1O3,0.059,0.038,0.665,0.946,0.836,0.998,1.0
K2Mn1O5,0.217,0.145,0.04,0.91,0.753,0.959,1.0
K2Mn2O5,0.041,-0.024,0.945,0.91,0.628,0.646,0.998
K2Mn2O7,0.109,0.135,0.117,0.918,0.45,0.864,1.0
K2Mn3O7,0.054,0.016,0.958,0.881,0.248,0.4,0.994
K2Mn5O7,0.129,0.08,0.331,0.745,0.428,0.427,0.978
K3Mn1O1,0.239,0.38,0.001,0.408,0.238,0.67,0.975
K3Mn1O6,0.28,0.208,0.055,0.906,0.414,0.884,1.0
K3Mn1O8,0.519,0.467,0.037,0.902,0.789,0.895,1.0
K3Mn2O1,0.445,0.641,0.0,0.161,0.391,0.997,0.996
K3Mn4O7,0.081,0.102,0.881,0.898,0.585,0.101,0.996
K4Mn2O3,0.097,0.277,0.001,0.912,0.393,0.653,0.998
K4Mn3O7,0.085,0.127,0.815,0.949,0.326,0.706,0.998
K4Mn5O7,0.091,0.123,0.78,0.928,0.755,0.755,0.993
K5Mn1O2,0.071,0.24,0.001,0.651,0.301,0.908,0.997
K5Mn1O4,0.003,0.068,0.711,0.924,0.612,0.828,1.0
K5Mn1O5,0.003,0.045,0.082,0.937,0.464,0.999,1.0
K5Mn1O7,0.206,0.181,0.105,0.907,0.305,0.841,1.0
K5Mn2O7,0.068,0.06,0.492,0.941,0.661,0.954,1.0
K5Mn3O8,0.143,0.132,0.669,0.95,0.75,0.972,0.999
K6Mn1O5,0.027,0.054,0.694,0.928,0.414,0.994,1.0
K6Mn1O7,0.132,0.117,0.062,0.925,0.397,1.0,1.0
K6Mn1O8,0.217,0.184,0.105,0.906,0.335,0.971,1.0
K7Mn1O3,0.103,0.191,0.002,0.701,0.203,0.94,0.999
K7Mn1O5,0.048,0.085,0.569,0.905,0.746,0.974,1.0
K7Mn1O6,0.0,0.029,0.192,0.929,0.71,0.991,1.0
K7Mn1O7,0.041,0.057,0.064,0.933,0.626,0.999,1.0
K7Mn3O2,0.509,0.577,0.003,0.27,0.44,0.974,0.997
K7Mn3O4,0.151,0.329,0.001,0.783,0.149,0.951,0.995
K7Mn5O6,0.119,0.215,0.001,0.912,0.239,0.778,0.995
K8Mn1O5,0.026,0.116,0.495,0.869,0.42,0.995,1.0
K8Mn3O7,0.069,0.126,0.519,0.937,0.181,0.956,0.999
K1O2Ta3,0.456,1.348,0.003,0.14,0.431,0.981,0.986
K1O4Ta1,0.276,0.198,0.084,0.937,0.749,0.695,1.0
K1O7Ta2,0.191,0.236,0.143,0.927,0.66,0.664,1.0
K2O2Ta1,0.361,0.55,0.001,0.676,0.14,0.467,0.996
K2O4Ta1,0.032,0.058,0.187,0.89,0.728,0.728,1.0
K2O7Ta3,0.222,0.261,0.416,0.738,0.537,0.705,0.998
K2O7Ta4,0.32,0.672,0.005,0.4,0.51,0.867,0.998
K2O8Ta3,0.117,0.175,0.828,0.861,0.436,0.471,0.998
K3O4Ta5,0.569,1.28,0.001,0.003,0.339,0.509,0.953
K3O5Ta2,0.218,0.266,0.003,0.815,0.557,0.542,0.999
K3O6Ta1,0.156,0.162,0.195,0.892,0.518,0.256,1.0
K3O7Ta2,0.076,0.039,0.941,0.887,0.205,0.434,0.999
K3O7Ta4,0.325,0.673,0.014,0.373,0.605,0.929,0.998
K4O3Ta1,0.232,0.269,0.001,0.785,0.081,0.902,0.997
K4O4Ta1,0.0,0.055,0.045,0.89,0.236,0.643,0.999
K4O5Ta2,0.334,0.433,0.003,0.844,0.583,0.907,0.999
K4O5Ta3,0.308,0.659,0.001,0.458,0.192,0.447,0.988
K4O7Ta1,0.186,0.183,0.034,0.873,0.498,0.586,1.0
K4O7Ta3,0.262,0.367,0.002,0.772,0.489,0.189,0.998
K4O8Ta1,0.169,0.204,0.087,0.886,0.697,0.527,1.0
K4O8Ta3,0.158,0.264,0.368,0.804,0.586,0.467,0.998
K5O4Ta3,0.451,0.778,0.001,0.106,0.097,0.945,0.987
K5O6Ta1,0.0,0.035,0.068,0.906,0.635,0.984,1.0
K5O8Ta1,0.165,0.164,0.033,0.865,0.665,0.739,1.0
K5O8Ta3,0.259,0.34,0.003,0.845,0.575,0.897,0.999
K6O5Ta1,0.0,-0.024,0.543,0.878,0.165,0.722,0.999
K6O5Ta2,0.395,0.444,0.001,0.766,0.314,0.873,0.999
K6O7Ta1,0.073,0.046,0.036,0.906,0.474,0.78,1.0
K6O7Ta2,0.0,0.054,0.037,0.892,0.057,0.425,0.998
K7O4Ta1,0.059,0.169,0.0,0.732,0.095,0.902,0.999
K7O5Ta1,0.0,0.114,0.003,0.84,0.505,0.993,1.0
K7O6Ta1,0.0,0.032,0.496,0.893,0.476,0.984,1.0
K8O6Ta1,0.01,0.112,0.392,0.867,0.668,0.953,1.0
K8O7Ta2,0.137,0.209,0.001,0.856,0.262,0.923,0.999
K1O5V2,0.046,0.049,0.991,0.937,0.591,0.704,0.999
K1O6V5,0.246,0.553,0.002,0.775,0.084,0.005,0.971
K1O7V6,0.196,0.532,0.002,0.779,0.082,0.001,0.95
K1O8V5,0.113,0.191,0.529,0.877,0.313,0.536,0.938
K1O8V7,0.124,0.521,0.003,0.782,0.109,0.0,0.894
K2O2V1,0.217,0.344,0.001,0.865,0.471,0.839,0.998
K2O3V1,0.023,0.031,0.625,0.919,0.91,1.0,1.0
K2O5V1,0.214,0.163,0.333,0.938,0.894,0.678,1.0
K2O6V5,0.29,0.603,0.0,0.554,0.166,0.019,0.979
K2O7V3,0.063,-0.011,0.952,0.901,0.67,0.995,0.999
K3O8V5,0.104,0.334,0.014,0.623,0.07,0.375,0.99
K4O3V1,0.167,0.274,0.002,0.862,0.32,0.912,0.999
K4O3V2,0.444,0.551,0.0,0.594,0.236,0.87,0.997
K4O4V1,0.0,0.071,0.769,0.917,0.709,0.997,1.0
K4O5V1,0.076,0.079,0.053,0.922,0.699,0.995,1.0
K4O5V2,0.119,0.17,0.502,0.913,0.818,0.925,0.999
K4O5V6,0.921,1.072,0.0,0.054,0.389,0.476,0.994
K4O6V1,0.178,0.174,0.041,0.91,0.787,0.978,1.0
K4O7V3,0.101,0.175,0.506,0.865,0.76,0.797,0.999
K5O3V1,0.212,0.327,0.001,0.787,0.178,0.853,0.999
K5O4V1,0.082,0.162,0.151,0.89,0.472,0.973,1.0
K5O4V3,0.518,0.637,0.0,0.458,0.14,0.852,0.998
K5O5V1,0.056,0.111,0.798,0.92,0.685,0.934,1.0
K5O6V1,0.147,0.131,0.032,0.92,0.281,0.883,1.0
K5O7V2,0.003,0.025,0.847,0.924,0.829,0.808,1.0
K6O4V1,0.129,0.258,0.001,0.844,0.547,0.946,1.0
K6O5V2,0.244,0.316,0.001,0.872,0.605,0.97,0.999
K6O7V1,0.138,0.184,0.028,0.919,0.643,0.955,1.0
K6O7V2,0.023,0.072,0.844,0.922,0.83,0.971,1.0
K6O8V1,0.237,0.263,0.018,0.904,0.227,0.966,1.0
K6O8V5,0.344,0.512,0.0,0.702,0.454,0.764,0.997
K7O4V1,0.198,0.341,0.001,0.787,0.407,0.993,1.0
K7O5V1,0.044,0.204,0.036,0.873,0.669,0.993,1.0
K7O5V3,0.402,0.503,0.0,0.676,0.165,0.972,0.998
K7O8V3,0.142,0.197,0.49,0.915,0.666,0.962,0.999
K8O7V2,0.091,0.173,0.339,0.9,0.432,0.954,1.0
K8O7V6,0.599,0.753,0.0,0.287,0.201,0.901,0.997
La1O1P1,0.012,0.908,0.043,0.979,0.793,0.768,0.999
La1O1P2,0.09,1.178,0.005,0.883,0.764,0.975,1.0
La1O1P3,0.172,1.158,0.007,0.844,0.835,0.677,1.0
La1O3P3,0.305,0.884,0.043,0.88,0.633,0.691,1.0
La2O1P1,0.018,1.276,0.008,0.938,0.741,0.982,0.995
La2O1P3,0.039,1.32,0.076,0.973,0.835,0.996,1.0
La2O2P3,0.073,1.192,0.016,0.951,0.737,0.717,1.0
La2O4P1,0.082,0.445,0.009,0.901,0.487,0.802,0.999
La2O5P6,0.206,0.929,0.006,0.861,0.656,0.676,0.999
La3O4P5,0.194,1.135,0.002,0.915,0.664,0.776,0.999
La3O7P4,0.173,0.811,0.055,0.948,0.649,0.754,0.999
La4O3P5,0.069,1.229,0.077,0.983,0.693,0.924,0.999
La5O1P4,0.118,1.453,0.017,0.987,0.683,0.996,0.999
La5O3P4,0.121,1.261,0.017,0.989,0.681,0.936,0.998
La5O4P4,0.292,1.24,0.007,0.982,0.721,0.933,0.998
La6O3P4,0.174,1.289,0.014,0.977,0.601,0.986,0.998
La7O1P3,0.053,1.62,0.005,0.709,0.629,0.962,0.992
La7O2P1,0.106,1.67,0.008,0.045,0.156,0.861,0.863
La7O2P3,0.051,1.49,0.014,0.856,0.432,0.94,0.993
La7O2P5,0.027,1.393,0.011,0.977,0.567,0.999,0.998
La7O3P5,0.176,1.335,0.016,0.983,0.698,0.996,0.999
La8O1P2,0.088,1.767,0.004,0.068,0.768,0.856,0.959
La8O1P6,0.095,1.512,0.003,0.971,0.784,0.996,0.999
La8O2P7,0.098,1.401,0.033,0.993,0.786,1.0,1.0
La8O5P6,0.048,1.221,0.036,0.986,0.798,0.994,0.999
Bi1O1Y2,0.021,1.013,0.001,0.855,0.242,0.104,0.989
Bi1O2Y1,0.238,0.295,0.013,0.091,0.218,0.668,0.988
Bi1O2Y3,0.07,0.961,0.001,0.778,0.451,0.158,0.994
Bi1O2Y4,0.105,1.228,0.003,0.442,0.469,0.257,0.984
Bi1O4Y7,0.076,1.25,0.001,0.254,0.183,0.985,0.989
Bi1O5Y6,0.093,0.894,0.001,0.326,0.218,0.643,0.993
